Date,Open,High,Low,Close,Volume
8/22/2017,68.61,71,68.61,71,"48,000"
8/23/2017,73,73,72.75,72.75,"42,000"
8/24/2017,73.5,73.5,71.95,71.95,"8,500"
8/25/2017,73.49,73.5,73,73,"435,000"
8/28/2017,72.1,75,72.1,73.64,"32,000"
8/29/2017,72.25,73.25,72.25,72.32,"133,000"
8/30/2017,72,73.9,72,73.63,"36,000"
8/31/2017,71.52,73.75,71.52,73.7,"14,000"
9/5/2017,73.7,74,73.25,73.64,"4,500"
9/6/2017,73,73,71.54,72.94,"2,500"
9/7/2017,73,73,71.5,71.61,"22,000"
9/8/2017,71,71.1,70,70.49,"81,500"
9/11/2017,71,71,70.1,70.14,"18,000"
9/12/2017,70.25,70.35,69.5,70.1,"42,000"
9/13/2017,70.27,73.6,70.27,73.01,"57,500"
9/14/2017,73.25,76.66,73.25,75.77,"14,000"
9/15/2017,77.75,78,77.75,77.93,"3,500"
9/18/2017,75.76,77.93,75.76,77.67,"11,500"
9/19/2017,77,77,77,77,"1,500"
9/20/2017,77,77,73.16,73.96,"921,000"
9/21/2017,73.26,73.5,72.5,72.83,"215,000"
9/22/2017,70.29,72.35,70.29,71.99,"5,500"
9/25/2017,72,72,71,71.01,"1,678,500"
9/26/2017,72,74.55,71.15,73.88,"326,000"
9/27/2017,72.5,73.3,72.5,73.3,"5,000"
9/28/2017,71.5,71.75,71.5,71.63,"3,000"
9/29/2017,71.75,74.5,71.75,74.43,"2,000"
10/2/2017,72,72.4,72,72.4,"82,000"
10/3/2017,71.21,71.21,69.26,69.91,"5,500"
10/4/2017,70.5,71,66.46,69.47,"613,500"
10/5/2017,67.51,69.5,66.75,68.5,"5,000"
10/6/2017,68.5,70,68.5,70,"4,000"
10/9/2017,67.8,69.45,66.6,69.45,"4,500"
10/11/2017,69,69,68,68.25,"53,000"
10/12/2017,66.3,67.02,66.3,67.01,"303,500"
10/13/2017,67,67,67,67,"41,500"
10/16/2017,68,68,68,68,"1,000"
10/17/2017,68.9,68.9,67.5,67.5,"71,000"
10/18/2017,68.1,68.1,68.1,68.1,500
10/19/2017,66.5,69.99,65.99,69.41,"215,500"
10/23/2017,69.49,69.5,69.49,69.5,"30,000"
10/24/2017,69,69,66.8,67.64,"43,000"
10/25/2017,67.6,67.6,67.6,67.6,"34,500"
10/26/2017,67,68,66.2,66.69,"173,500"
10/27/2017,66.5,67.5,64.85,65.66,"21,500"
10/30/2017,64.1,65.25,64,65.25,"13,000"
10/31/2017,65.25,66.1,65,65.52,"43,000"
11/1/2017,65.5,67,64.52,66.34,"324,000"
11/2/2017,66,67,66,67,"208,000"
11/3/2017,67,67,65.1,66.99,"27,000"
11/6/2017,66.9,66.9,66.9,66.9,500
11/7/2017,66,67,66,66.5,"11,000"
11/8/2017,66.89,67,66.89,67,"32,000"
11/9/2017,67,68.8,67,67.18,"15,000"
11/10/2017,67,68.8,67,68.8,"1,500"
11/13/2017,68.45,68.8,68.25,68.72,"80,000"
11/14/2017,68.3,68.3,68.25,68.28,"1,000"
11/15/2017,66.75,66.75,66.75,66.75,"1,000"
11/16/2017,67,68,67,68,"151,500"
11/17/2017,67,68,66.98,68,"9,500"
11/20/2017,68,68,67.5,68,"20,500"
11/21/2017,68,68,68,68,"328,000"
11/23/2017,68,68,68,68,"6,500"
11/24/2017,68.5,68.5,68,68,"36,000"
11/27/2017,68,68.15,68,68,"74,500"
11/28/2017,68.05,68.05,67.8,67.8,"274,000"
11/29/2017,66.12,67.86,66.05,67.86,"1,500"
11/30/2017,66.51,67.65,66.5,66.51,"14,000"
12/4/2017,66,66,66,66,500
12/5/2017,65.61,66,65,66,"21,000"
12/6/2017,66.75,67,66.75,66.99,"20,500"
12/7/2017,65,65,64.6,64.6,"1,500"
12/8/2017,65.5,65.5,65.15,65.17,"2,500"
12/11/2017,65,65.1,64.24,64.24,"1,098,000"
12/12/2017,63.3,64.49,63.01,64,"599,500"
12/13/2017,64,65.25,64,64.49,"878,500"
12/14/2017,62.51,62.55,61.9,61.93,"204,500"
12/15/2017,64.25,65.02,62.5,62.95,"84,500"
12/18/2017,63,63.7,63,63.51,"188,000"
12/19/2017,63.5,64,63.5,63.82,"99,500"
12/20/2017,64,64.05,64,64,"193,500"
12/21/2017,63,64,63,63.95,"10,000"
12/22/2017,63.95,65.47,63.75,65,"465,500"
12/26/2017,64.97,65,64.8,64.96,"65,000"
12/27/2017,65,67.49,65,67.48,"216,000"
12/28/2017,67.5,68.9,66,67.96,"558,000"
12/29/2017,67.9,67.9,66.1,67.1,"289,000"
1/1/2018,67,67.69,67,67.2,"1,051,500"
1/2/2018,67,70.56,67,70.56,"51,500"
1/3/2018,71.5,72.65,70,71.55,"23,000"
1/5/2018,71.8,72,71,71.5,"14,500"
1/8/2018,73.5,73.5,71.51,72,"22,000"
1/9/2018,70.25,71.02,70.25,70.92,"65,000"
1/10/2018,71,72.5,71,72,"97,500"
1/11/2018,72,75.6,72,74.27,"217,500"
1/12/2018,74.45,75.5,74.4,75.18,"27,500"
1/15/2018,72.11,74.01,72.1,73.42,"57,500"
1/16/2018,73.5,74.8,73,73.56,"61,500"
1/17/2018,74,76,74,74.26,"24,500"
1/18/2018,74.4,75,74,74.71,"55,500"
1/19/2018,74.74,77.5,74.74,76.67,"194,500"
1/22/2018,77,77.01,76,76.83,"206,000"
1/23/2018,77,77,76.83,76.83,"1,500"
1/24/2018,76,76.01,75.99,76,"5,000"
