Date,Open,High,Low,Close,Volume
14-Jun-17,873,888,870,877.67,"27,400"
15-Jun-17,880,883,873,874.06,"11,650"
16-Jun-17,870,880,865,872.62,"5,650"
19-Jun-17,872.62,873,830,870.68,"8,000"
20-Jun-17,870,885,827.15,827.15,"34,450"
21-Jun-17,820,868.5,810.01,859.12,"33,250"
22-Jun-17,875,880,816.17,827.66,"31,250"
29-Jun-17,815,860,800,838.04,"37,650"
30-Jun-17,820,879.94,820,867.69,"109,450"
3-Jul-17,851.01,858,824.31,824.31,"32,100"
4-Jul-17,822,841,815,819.33,"52,050"
5-Jul-17,822,825,780,781.24,"29,250"
6-Jul-17,775,777,747,756.09,"50,300"
7-Jul-17,760,766.77,735,738.31,"14,300"
10-Jul-17,734.51,760,731.01,749.99,"87,650"
11-Jul-17,735,735,712.5,712.5,"41,800"
12-Jul-17,682,701,676.88,678.26,"51,550"
13-Jul-17,686.8,686.8,644.35,651.75,"23,150"
14-Jul-17,657.9,657.9,641,644.99,"34,700"
17-Jul-17,615.02,650,615.01,644.07,"48,200"
18-Jul-17,663,675,647,664.48,"53,750"
19-Jul-17,667,677,661,666.7,"57,250"
20-Jul-17,674.98,685.69,670,671.14,"55,550"
21-Jul-17,656.52,677.99,655,670.77,"26,600"
24-Jul-17,674.9,680,663,665.69,"30,400"
25-Jul-17,670.31,690,669.99,684.78,"81,700"
26-Jul-17,688,693,675.2,676.71,"163,750"
27-Jul-17,679.99,679.99,670,671.99,"11,750"
28-Jul-17,651,660,638.4,650.86,"130,150"
31-Jul-17,654.1,674.98,654,656.28,"170,700"
1-Aug-17,659.7,675,655.1,660.67,"781,500"
2-Aug-17,662.4,679,660.1,673.55,"284,550"
3-Aug-17,679.99,702.49,679.99,690.92,"460,900"
4-Aug-17,691.07,708,685,687.02,"328,150"
7-Aug-17,681.08,689.85,672.55,679.71,"98,350"
8-Aug-17,681,684.4,665,670.33,"116,900"
9-Aug-17,665.05,673,665,670.72,"57,350"
10-Aug-17,680,680,665,665.5,"15,650"
11-Aug-17,671,679,650,653.77,"29,300"
15-Aug-17,658.8,662,621.09,621.09,"62,350"
16-Aug-17,629.5,633,624.5,629.25,"193,550"
17-Aug-17,620,628,603.02,604.3,"50,300"
18-Aug-17,596.05,607,580,605.11,"61,150"
21-Aug-17,599.98,600,574.86,575.08,"34,800"
22-Aug-17,566,566,546.33,554.59,"167,750"
23-Aug-17,560,582.31,560,581.26,"169,600"
24-Aug-17,580,598,580,588.64,"161,350"
25-Aug-17,589.95,606.9,578,602.33,"55,900"
28-Aug-17,601,604,577,580.2,"66,750"
29-Aug-17,576,577.9,551.36,556.54,"33,100"
30-Aug-17,546,570,535,541.08,"66,850"
31-Aug-17,545,554.99,540,550.19,"7,150"
5-Sep-17,552.34,577.69,550.55,577.69,"22,150"
6-Sep-17,578.1,594.5,562.99,564.68,"84,800"
7-Sep-17,572,574.4,558,564.95,"24,550"
8-Sep-17,575,578,568.02,571.2,"22,050"
11-Sep-17,582.33,582.33,550,555.64,"9,650"
12-Sep-17,559.8,560,540.25,555.75,"9,750"
13-Sep-17,564,575.1,560,571.67,"122,950"
14-Sep-17,567,572.5,553,556.29,"127,250"
15-Sep-17,557,566,552,554.6,"143,450"
18-Sep-17,558,558,548,548.26,"51,750"
19-Sep-17,548,550,533.1,543.84,"64,400"
20-Sep-17,545,545,533.05,536.93,"357,350"
21-Sep-17,539,548.65,512.01,518.47,"294,600"
22-Sep-17,518,541.99,514,535.42,"307,000"
25-Sep-17,539.95,544.9,520,527.78,"140,700"
26-Sep-17,528,530.5,524,527.75,"47,000"
27-Sep-17,527.75,532,525.1,529.98,"44,700"
28-Sep-17,530,536,530,533.5,"72,150"
29-Sep-17,535.99,543,534.5,539.49,"50,050"
2-Oct-17,536.3,540,529,531.42,"33,250"
3-Oct-17,530,535,525,527.41,"105,850"
4-Oct-17,525,528,501.04,510.22,"46,000"
5-Oct-17,515,521,508,513.82,"122,550"
6-Oct-17,520,524,516.02,518.51,"61,500"
9-Oct-17,519.13,529,510.25,519.34,"81,600"
10-Oct-17,511,517.9,510,514.33,"14,250"
